name,scientific_name,ott_id,node_id,image_url,comments
ant,Formica rufa,744114,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/792/26875792.jpg,
bee,Apis mellifera,461645,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/917/31920917.jpg,
ladybug,Coccinella septempunctata,343294,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/3/256/-26781256.jpg,
spider,Araneus diadematus,725241,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/582/5815582.jpg,
grasshopper,Schistocerca gregaria,330338,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/094/16895094.jpg,
dragonfly,Anax imperator,485521,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/816/31325816.jpg,
mosquito,Aedes aegypti,269666,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/998/3601998.jpg,
housefly,Musca domestica,1011010,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/983/32386983.jpg,
snail,Cornu aspersum,349699,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/129/25636129.jpg,
worm,Lumbricus terrestris,316441,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/092/29674092.jpg,
apple tree,Malus domestica,3902985,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/278/25590278.jpg,
banana,Musa acuminata,207474,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/2/34/34.jpg,
strawberry,Fragaria × ananassa,208027,,http://commons.wikimedia.org/wiki/Special:FilePath/Strawberries.JPG,
blueberry,Vaccinium corymbosum,567253,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/396/32156396.jpg,
watermelon,Citrullus lanatus,1006251,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/294/2445294.jpg,
pumpkin,Cucurbita pepo,379282,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/780/26781780.jpg,
carrot,Daucus carota,372836,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/728/26800728.jpg,
tomato,Solanum lycopersicum,378964,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/506/26923506.jpg,
corn,Zea mays,605194,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/580/32354580.jpg,
grass,Poa pratensis,1079463,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/538/5818538.jpg,
cactus,Carnegiea gigantea,897402,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/173/32541173.jpg,
pine tree,Pinus sylvestris,568619,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/900/27739900.jpg,
mushroom,Agaricus bisporus,564405,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/214/27740214.jpg,
swan,Cygnus olor,140314,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/297/25805297.jpg,
tuna,Thunnus albacares,833188,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/679/20838679.jpg,
salmon,Salmo salar,688328,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/304/31421304.jpg,
killer whale,Orcinus orca,124215,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/368/27795368.jpg,
shrimp,Litopenaeus vannamei,169168,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/605/31799605.jpg,
coral,Acropora cervicornis,507951,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/740/26821740.jpg,
pigeon,Columba livia,938416,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/837/34214837.jpg,
donkey,Equus africanus asinus,519153,,http://commons.wikimedia.org/wiki/Special:FilePath/Donkey%20in%20Clovelly%2C%20North%20Devon%2C%20England.jpg,
aardvark,Orycteropus afer,561087,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/713/27322713.jpg,
giant anteater,Myrmecophaga tridactyla,490538,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/796/26879796.jpg,
echidna,Tachyglossus aculeatus,16038,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/190/26789190.jpg,
tapir,Tapirus terrestris,1034223,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/191/32450191.jpg,
bison,Bison bison,907693,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/781/26852781.jpg,
red panda,Ailurus fulgens,872562,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/3/974/24158974.jpg,
weasel,Mustela nivalis,354525,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/964/27768964.jpg,
badger,Meles meles,923113,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/158/32156158.jpg,
opossum,Didelphis virginiana,919171,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/200/13153200.jpg,
capybara,Hydrochoerus hydrochaeris,744018,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/99/379/27770379.jpg,
ostrich,Struthio camelus,647692,,https://www.onezoom.org/OZtree/static/FinalOutputs/img/3/602/6687602.jpg,
